x,y,Y,L,a,b,c,h
0.22397,0.28399,48.278,75,-23.657,-26.274,35.355,228
0.2081,0.21415,4.4155,25,1.3084,-24.966,25,273
0.24471,0.25394,18.419,50,1.3084,-24.966,25,273
0.26261,0.27354,48.278,75,1.3084,-24.966,25,273
0.28644,0.19884,4.4155,25,26.274,-23.657,35.355,318
0.29797,0.24051,18.419,50,26.274,-23.657,35.355,318
0.30272,0.2622,48.278,75,26.274,-23.657,35.355,318
0.36941,0.18108,4.4155,25,51.24,-22.349,55.902,336.43
0.35288,0.2259,18.419,50,51.24,-22.349,55.902,336.43
0.40795,0.21059,18.419,50,76.206,-21.041,79.057,344.56
0.18715,0.19157,18.419,50,2.6168,-49.931,50,273
0.19063,0.1298,4.4155,25,27.583,-48.623,55.902,299.57
0.23146,0.18448,18.419,50,27.583,-48.623,55.902,299.57
0.25495,0.12284,4.4155,25,52.548,-47.315,70.711,318
0.27871,0.17635,18.419,50,52.548,-47.315,70.711,318
0.32783,0.1674,18.419,50,77.514,-46.006,90.139,329.31
0.17813,0.14021,18.419,50,28.891,-73.589,79.057,291.43
0.1742,0.082515,4.4155,25,53.857,-72.28,90.139,306.69
0.21726,0.13588,18.419,50,53.857,-72.28,90.139,306.69
0.25909,0.13088,18.419,50,78.822,-70.972,106.07,318
0.25332,0.35108,18.419,50,-24.966,-1.3084,25,183
0.26938,0.34523,48.278,75,-24.966,-1.3084,25,183
--,--,0,0,0,0,0,0
0.31273,0.32902,4.4155,25,0,0,0,0
0.31273,0.32902,18.419,50,0,0,0,0
0.31273,0.32902,48.278,75,0,0,0,0
0.31273,0.32902,100,100,0,0,0,0
0.41044,0.2905,4.4155,25,24.966,1.3084,25,3
0.37353,0.30534,18.419,50,24.966,1.3084,25,3
0.3568,0.31196,48.278,75,24.966,1.3084,25,3
0.43376,0.28095,18.419,50,49.931,2.6168,50,3
0.49181,0.25666,18.419,50,74.897,3.9252,75,3
0.3075,0.52435,4.4155,25,-26.274,23.657,35.355,138
0.31561,0.44408,18.419,50,-26.274,23.657,35.355,138
0.31654,0.41004,48.278,75,-26.274,23.657,35.355,138
0.27022,0.43268,48.278,75,-51.24,22.349,55.902,156.43
0.41792,0.44961,4.4155,25,-1.3084,24.966,25,93
0.38179,0.40728,18.419,50,-1.3084,24.966,25,93
0.36355,0.38634,48.278,75,-1.3084,24.966,25,93
0.52174,0.37656,4.4155,25,23.657,26.274,35.355,48
0.44682,0.36993,18.419,50,23.657,26.274,35.355,48
0.41032,0.36214,48.278,75,23.657,26.274,35.355,48
0.50874,0.33341,18.419,50,48.623,27.583,55.902,29.566
0.56618,0.29873,18.419,50,73.589,28.891,79.057,21.435
0.36753,0.52508,18.419,50,-27.583,48.623,55.902,119.57
0.35998,0.47135,48.278,75,-27.583,48.623,55.902,119.57
0.29736,0.57731,18.419,50,-52.548,47.315,70.711,138
0.31049,0.50294,48.278,75,-52.548,47.315,70.711,138
0.43671,0.47238,18.419,50,-2.6168,49.931,50,93
0.4092,0.43925,48.278,75,-2.6168,49.931,50,93
0.50246,0.42134,18.419,50,22.349,51.24,55.902,66.435
0.4572,0.40735,48.278,75,22.349,51.24,55.902,66.435
0.56315,0.37345,18.419,50,47.315,52.548,70.711,48
0.61793,0.32963,18.419,50,72.28,53.857,90.139,36.69
0.39381,0.52123,48.278,75,-28.891,73.589,79.057,111.43
0.34264,0.56147,48.278,75,-53.857,72.28,90.139,126.69
0.44388,0.48131,48.278,75,-3.9252,74.897,75,93
0.49196,0.4425,48.278,75,21.041,76.206,79.057,74.565
